artist,song,genre,era,url
Live,I Alone,Rock,1990s,https://www.youtube.com/watch?v=FNrQOUtXYOo
Living Color,Cult of Personality,Rock,1980s,https://www.youtube.com/watch?v=7xxgRUyzgs0
LL Cool J,I Need Love,Hip-Hop,1980s,https://www.youtube.com/watch?v=NEUX-HYRtUA
Ludacris,Stand Up,Hip-Hop,2000s,https://www.youtube.com/watch?v=pZG7IK99OvI
Lynyrd Skynyrd,Sweet Home Alabama,Rock,1970s,https://www.youtube.com/watch?v=FQL-tJfge60
Madonna,Like a Prayer,Pop,1980s,https://www.youtube.com/watch?v=79fzeNUqQbQ
Madonna,Like a Virgin,Pop,1980s,https://www.youtube.com/watch?v=s__rX_WL100
Madonna,Vogue,Pop,1990s,https://www.youtube.com/watch?v=GuJQSAiODqI
Madonna,Material Girl,Pop,1980s,https://www.youtube.com/watch?v=6p-lDYPR2P8
Maneskin,Beggin',Rock,2020s,https://www.youtube.com/watch?v=Xg72z08aTXY
Marcy Playground,Sex and Candy,Alternative,1990s,https://www.youtube.com/watch?v=-KT-r2vHeMM
Mariah Carey,Fantasy,Pop,1990s,https://www.youtube.com/watch?v=qq09UkPRdFY
Matchbox Twenty,Push,Rock,1990s,https://www.youtube.com/watch?v=HAkHqYlqops
Matchbox Twenty,3AM,Rock,1990s,https://www.youtube.com/watch?v=C-Naa1HXeDQ
Men Without Hats,The Safety Dance,Pop,1980s,https://www.youtube.com/watch?v=nM4okRvCg2g
Metallica,One,Rock,1980s,https://www.youtube.com/watch?v=WM8bTdBs-cw
MGMT,Kids,Alternative,2000s,https://www.youtube.com/watch?v=fe4EK4HSPkI
Michael Jackson,Thriller,Pop,1980s,https://www.youtube.com/watch?v=sOnqjkJTMaA
Michael Jackson,Billie Jean,Pop,1980s,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
Michael Jackson,Black or White,Pop,1990s,https://www.youtube.com/watch?v=pTFE8cirkdQ
Michael Jackson,Beat It,Pop,1980s,https://www.youtube.com/watch?v=oRdxUFDoQe0
Michael McDonald,Sweet Freedom,Pop,1980s,https://www.youtube.com/watch?v=yUlpqCsP6zY
Michael McDonald,I Keep Forgetting,Pop,1970s,https://www.youtube.com/watch?v=9gbQVj4MR3M
Migos,Bad and Boujee,Hip-Hop,2010s,https://www.youtube.com/watch?v=S-sJp1FfG7Q
Missy Elliott,The Rain (Supa Dupa Fly),Hip-Hop,1990s,https://www.youtube.com/watch?v=hHcyJPTTn9w
Modest Mouse,Float On,Alternative,2000s,https://www.youtube.com/watch?v=CTAud5O7Qqk
My Chemical Romance,Welcome to the Black Parade,Rock,2000s,https://www.youtube.com/watch?v=RRKJiM9Njr8
N.W.A,Straight Outta Compton,Hip-Hop,1980s,https://www.youtube.com/watch?v=TMZi25Pq3T8
Nas,N.Y. State of Mind,Hip-Hop,1990s,https://www.youtube.com/watch?v=hI8A14Qcv68
Natalie Imbruglia,Torn,Pop,1990s,https://www.youtube.com/watch?v=VV1XWJN3nJo
Neil Young,Heart of Gold,Rock,1970s,https://www.youtube.com/watch?v=WZn9QZykx10
New Order,Blue Monday,Alternative,1980s,https://www.youtube.com/watch?v=9GMjH1nR0ds
Nickelback,How You Remind Me,Rock,2000s,https://www.youtube.com/watch?v=Aiay8I5IPB8
